Sno,Company,calendar_year,OperatingExpenseExItems,NetIncome,PaymentsOfDividends,DPR,DPR0,DDPR,NI0,Ex0,p
1,3M Co,2018,-547000000,5363000000,3193000000,0.595375723,0.529022929,0.066352793,4841000000,-47000000,0.25605336
2,Abbott Laboratories,2018,,2368000000,1974000000,0.833614865,0.326249152,0.507365713,4423000000,0,0.25605336
3,AbbVie Inc.,2018,,5687000000,5580000000,0.981185159,0.640357698,0.340827461,5144000000,0,0.25605336
4,Accenture plc,2018,,4214594000,1708724000,0.405430274,0.413426461,-0.007996187,3273789000,0,0.25605336
5,"Activision Blizzard, Inc.",2018,,1813000000,259000000,0.142857143,0.19058296,-0.047725817,892000000,0,0.25605336
6,Adobe Inc.,2018,,2590774000,,0,0,0,629551000,0,0.25605336
7,Advance Auto Parts Inc,2018,,423847000,17819000,0.042041114,0.037281526,0.004759588,473398000,0,0.25605336
8,Advanced Micro Devices Inc,2018,0,337000000,,0,0,0,-660000000,129000000,0.25605336
9,Aes Corp,2018,-776000000,1565000000,344000000,0.219808307,0.362204724,-0.142396418,762000000,602000000,0.25605336
10,"Affiliated Managers Group, Inc.",2018,114800000,532300000,64400000,0.120984407,0,0.120984407,827200000,115400000,0.25605336
11,Aflac Inc,2018,,2920000000,793000000,0.271575342,0.258981445,0.012593898,2533000000,0,0.25605336
12,Agilent Technologies Inc,2018,,316000000,191000000,0.60443038,0.331670823,0.272759557,401000000,0,0.25605336
13,Air Products & Chemicals Inc /DE/,2018,0,1532900000,897800000,0.585687259,0.514192471,0.071494788,1317600000,180100000,0.25605336
14,Akamai Technologies Inc,2018,27594000,298373000,,0,0,0,321406000,767000,0.25605336
15,"Alaska Air Group, Inc.",2018,87000000,437000000,158000000,0.361556064,0.120283019,0.241273045,848000000,32000000,0.25605336
16,Albemarle Corp,2018,-210428000,739139000,144596000,0.195627615,0.33133554,-0.135707925,360064000,125495000,0.25605336
17,Alexandria Real Estate Equities Inc,2018,6311000,402793000,385839000,0.957908901,1.663700946,-0.705792045,146114000,23250000,0.25605336
18,"Alexion Pharmaceuticals, Inc.",2018,25500000,77600000,,0,0,0,144400000,42100000,0.25605336
